,Unnamed: 0,Name,Record,Nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,weight number,WeightClass
0,0,Tom Aaron,5-3-0,,--,155 lbs.,--,,"Jul 13, 1978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Lightweight
1,1,Danny Abbadi,4-6-0,The Assassin,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,155,Lightweight
2,2,David Abbott,10-15-0,Tank,"6' 0""",265 lbs.,--,Switch,--,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,265,Heavyweight
3,3,Shamil Abdurakhimov,20-5-0,Abrek,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,235,Heavyweight
4,4,Hiroyuki Abe,NC),Abe Ani,"5' 6""",145 lbs.,--,Orthodox,--,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,145,Featherweight
5,5,Daichi Abe,6-2-0,,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,170,Welterweight
6,6,Papy Abedi,10-4-0,Makambo,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,185,Middleweight
7,7,Ricardo Abreu,5-1-0,Demente,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,185,Middleweight
8,8,Klidson Abreu,NC),White Bear,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,205,Lightheavyweight
9,9,Daniel Acacio,30-18-0,,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,180,Middleweight
10,10,Scott Adams,8-1-0,,"6' 0""",225 lbs.,--,Southpaw,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,Heavyweight
11,11,Juan Adams,5-3-0,The Kraken,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,265,Heavyweight
12,12,Anthony Adams,8-2-0,Sugafoot,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,185,Middleweight
13,13,Zarrukh Adashev,3-2-0,The Lion,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.75,0.33,3.75,0.33,0.0,0.0,0.0,0.0,125,Flyweight
14,14,Israel Adesanya,20-0-0,The Last Stylebender,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",4.1,0.5,2.33,0.65,0.0,0.0,0.86,0.3,185,Middleweight
15,15,Sam Adkins,7-20-2,The Experience,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,Heavyweight
16,16,Nick Agallar,24-6-0,,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,155,Lightweight
17,17,Mariya Agapova,9-2-0,,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,125,Flyweight
18,18,Marcelo Aguiar,2-3-1,,"5' 10""",170 lbs.,--,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,Welterweight
19,19,Fabio Aguiar,17-1-0,,"6' 0""",185 lbs.,--,,"Feb 10, 1988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,Middleweight
20,20,Edwin Aguilar,NC),Tigre,"5' 10""",185 lbs.,--,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,Middleweight
21,21,Jessica Aguilar,20-8-0,Jag,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,115,Strawweight
22,22,Kevin Aguilar,17-4-0,Angel of Death,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0,155,Lightweight
23,23,Christian Aguilera,14-7-0,The Beast,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",3.35,0.41,4.89,0.46,0.0,0.0,0.0,0.0,170,Welterweight
24,24,Mike Aina,NC),Iron,"5' 9""",155 lbs.,--,Orthodox,--,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,155,Lightweight
25,25,Hitomi Akano,18-10-0,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5,135,Bantamweight
26,26,Omari Akhmedov,20-5-1,Wolverine,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.92,0.34,2.69,0.57,2.56,0.5,0.65,0.2,185,Middleweight
