,Name,Record,Nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
0,Tom Aaron,5-3-0,,--,155 lbs.,--,,"Jul 13, 1978",0.0,0%,0.0,0%,0.0,0%,0%,0.0
1,Danny Abbadi,4-6-0,The Assassin,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0.0,0%,77%,0.0
2,David Abbott,10-15-0,Tank,"6' 0""",265 lbs.,--,Switch,--,1.35,30%,3.55,38%,1.07,33%,66%,0.0
3,Shamil Abdurakhimov,20-5-0,Abrek,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.45,44%,2.45,58%,1.23,24%,47%,0.2
4,Hiroyuki Abe,NC),Abe Ani,"5' 6""",145 lbs.,--,Orthodox,--,1.71,36%,3.11,63%,0.0,0%,33%,0.0
5,Daichi Abe,6-2-0,,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.8,33%,4.49,56%,0.33,50%,0%,0.0
6,Papy Abedi,10-4-0,Makambo,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",2.8,55%,3.15,48%,3.47,57%,50%,1.3
7,Ricardo Abreu,5-1-0,Demente,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
8,Klidson Abreu,NC),White Bear,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,40%,2.9,55%,0.64,20%,80%,0.0
9,Daniel Acacio,30-18-0,,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0
10,Scott Adams,8-1-0,,"6' 0""",225 lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
11,Juan Adams,5-3-0,The Kraken,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0
12,Anthony Adams,8-2-0,Sugafoot,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",3.17,41%,5.93,44%,0.0,0%,0%,0.0
13,Zarrukh Adashev,3-2-0,The Lion,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.75,33%,3.75,33%,0.0,0%,0%,0.0
14,Israel Adesanya,20-0-0,The Last Stylebender,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",4.1,50%,2.33,65%,0.0,0%,86%,0.3
15,Sam Adkins,7-20-2,The Experience,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0
16,Nick Agallar,24-6-0,,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0.0,0%,0%,0.0
17,Mariya Agapova,9-2-0,,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",3.7,50%,4.15,47%,1.23,66%,33%,0.6
18,Marcelo Aguiar,2-3-1,,"5' 10""",170 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
19,Fabio Aguiar,17-1-0,,"6' 0""",185 lbs.,--,,"Feb 10, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0
20,Edwin Aguilar,NC),Tigre,"5' 10""",185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
21,Jessica Aguilar,20-8-0,Jag,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2
22,Kevin Aguilar,17-4-0,Angel of Death,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.69,37%,4.47,53%,0.19,25%,87%,0.0
23,Christian Aguilera,14-7-0,The Beast,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",3.35,41%,4.89,46%,0.0,0%,0%,0.0
24,Mike Aina,NC),Iron,"5' 9""",155 lbs.,--,Orthodox,--,2.87,33%,6.33,59%,0.0,0%,71%,0.0
25,Hitomi Akano,18-10-0,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0.0,0%,8%,0.5
26,Omari Akhmedov,20-5-1,Wolverine,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.92,34%,2.69,57%,2.56,50%,65%,0.2
27,Yoshihiro Akiyama,NC),,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.1,41%,3.62,57%,2.29,67%,92%,1.0
28,Rostem Akman,6-2-0,,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.8,25%,3.97,57%,1.0,40%,87%,0.0
29,Razak Al-Hassan,13-5-0,,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0
30,Mostapha Al-Turk,6-6-0,,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0.0,0%,0%,0.0
31,Herdem Alacabek,5-1-0,,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,65%,6.66,23%,2.06,50%,42%,0.0
32,Javi Alanis,0-4-0,,"5' 6""",135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
33,Heili Alateng,14-8-1,The Mongolian Knight,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.87,32%,5.82,57%,2.33,35%,100%,0.0
34,Amir Albazi,13-1-0,The Prince,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.55,42%,0.64,81%,3.19,100%,0%,3.2
35,Brett Albee,3-2-0,,--,225 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
36,John Albert,6-5-0,Prince,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,49%,2.82,35%,0.0,0%,50%,6.1
37,Junior Albini,14-6-0,Baby,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0
38,Wes Albritton,0-1-0,,"5' 10""",188 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
39,Aleksandra Albu,3-2-0,Stitch,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4
40,Israel Albuquerque,0-3-0,,--,185 lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0.0,0%,0%,0.0
41,Juan Alcain,1-2-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
42,Iuri Alcantara,NC),Marajo,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8
43,Ildemar Alcantara,21-11-0,Marajo,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2.0,68%,81%,0.9
44,Alfonso Alcarez,1-3-1,,"5' 3""",145 lbs.,--,,"Jun 10, 1970",0.0,0%,0.0,0%,0.0,0%,0%,0.0
45,Gilbert Aldana,6-2-0,El Peligro,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0
46,Irene Aldana,12-6-0,,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.52,38%,5.97,61%,0.23,50%,84%,0.1
47,Hector Aldana,4-3-0,,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0
48,Jose Aldo,28-7-0,,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.48,44%,3.55,62%,0.6,61%,90%,0.1
49,JJ Aldrich,8-4-0,,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.88,40%,4.68,62%,0.31,25%,53%,0.0
50,Jim Alers,NC),The Beast,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.9,40%,4.38,56%,2.26,41%,80%,0.3
51,John Alessio,NC),The Natural,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.1,39%,2.91,54%,1.85,38%,70%,1.2
52,Houston Alexander,NC),The Assassin,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.2,52%,1.19,57%,33%,0.0
53,Kenneth Alexander,NC),The Machine,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,19%,2.2,66%,4.71,26%,0%,0.0
54,Marcio Alexandre Junior,17-4-0,Lyoto,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7
55,Olaf Alfonso,8-12-0,,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7
56,Pablo Alfonso,9-7-0,The Hurricane,"5' 8""",145 lbs.,--,,"May 09, 1983",0.0,0%,0.0,0%,0.0,0%,0%,0.0
57,Levi Alford,1-7-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
58,Bill Algeo,14-5-0,Senor Perfecto,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",6.8,56%,5.31,38%,0.67,33%,62%,0.0
59,Royce Alger,3-2-0,,"5' 10""",199 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
60,Amir Aliakbari,10-1-0,,"6' 3""",250 lbs.,--,,"Jun 10, 1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0
61,Sultan Aliev,15-3-0,,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,45%,2.2,56%,1.76,38%,100%,0.0
62,John Allan,NC),,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",2.95,43%,4.01,52%,1.94,71%,50%,1.2
63,George Allen,13-19-2,,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",0.8,38%,3.1,43%,0.0,0%,50%,0.0
